,,"Newburgh/Kingston, NY",,,,,,,,,,
,,"Norfolk, VA",,,,,,,,,,
,,"Oakland, CA",,,,,,,,,,
,,"Ogden, UT",,,,,,,,,,
,,"Oklahoma City, OK",,,,,,,,,,
,,"Omaha, NE",,,,,,,,,,
,,"Ouachita Parish, LA",,,,,,,,,,
,,"Phoenix, AZ",,,,,,,,,,
,,"Pittsburgh, PA",,,,,,,,,,
,,"Portland, OR",,,,,,,,,,
,,"Providence, RI",,,,,,,,,,
,,"Rochester, NY",,,,,,,,,,
,,"San Antonio, TX",,,,,,,,,,
,,"San Diego, CA",,,,,,,,,,
,,"San Francisco, CA",,,,,,,,,,
,,"Seattle, WA",,,,,,,,,,
,,"Springfield, IL",,,,,,,,,,
,,"Springfield, MA",,,,,,,,,,
,,"St. Louis, MO",,,,,,,,,,
,,"St. Paul, MN",,,,,,,,,,
,,"Tacoma, WA",,,,,,,,,,
,,"Tampa, FL",,,,,,,,,,
,,"Waco, TX",,,,,,,,,,
,,"Washington, DC",,,,,,,,,,
,,"Wilmington, DE",,,,,,,,,,
